,title,link,summary
27,Bez granica sa Andrejem: Priče iz Japana 2/9,http://rs.n1info.com/Vesti/a575550/Bez-granica-sa-Andrejem-Price-iz-Japana-2/9.html,Tokio. Grad sa najviše stanovnika na planeti. Preko 37 miliona. Većina njih koristi čuveni tokijski metro koji je priča za sebe. Ali grad krije i brojne druge poput one o čuvenom psu Hačiku koji je nakon smrti svog gospodara svaki dan čekao na stanici Šibuja da mu se vrati. Na istoj stanici je i uginuo 10 godina kasnije.
28,U Evropi prošle godine zaplenjeno 36 miliona lekova,http://rs.n1info.com/Svet/a575594/U-Evropi-prosle-godine-zaplenjeno-36-miliona-lekova.html,"U velikoj operaciji protiv šverca lekova u Evropi je prošle godine zaplenjeno 36 miliona lekova i privedeno je 165 osumnjičenih, saopštile su Evropska policijska služba i francuska žandarmerija."
29,Dodik: Neću dozvoliti angažovanje vojske na granici sa Srbijom zbog migranata,http://rs.n1info.com/Region/a575592/Dodik-Necu-dozvoliti-angazovanje-vojske-na-granici-sa-Srbijom-zbog-migranata.html,Srpski član Predsedništva BiH i lider Saveza nezavisnih socijaldemokrata Milorad Dodik ponovio je u Banjaluci da odbija angažovanje pripadnika Oružanih snaga BiH na granici sa Srbijom radi sprečavanja ilegalnih ulazaka migranata u BiH.
30,Javnobeležnička komora osudila napade na pravnike koji overavaju potpise birača,http://rs.n1info.com/Izbori-2020/a575588/Javnobeleznicka-komora-osudila-napade-na-pravnike-koji-overavaju-potpise-biraca.html,"Javnobeležnička komora Srbije je najoštrije osudila, kako navode, nasilno i uvredljivo ponašanje čije su žrtve zaposleni u javnobeležničkim kancelarijama ""koji obavljaju odgovoran posao overavanja potpisa birača za predstojeće izbore u Srbiji""."
31,"Muškarac kod Kragujevca vozio sa 3,39 promila alkohola u krvi",http://rs.n1info.com/Vesti/a575586/Muskarac-kod-Kragujevca-vozio-sa-3-39-promila-alkohola-u-krvi.html,"Muškarac (43) u mestu Goločelo upravljao je vozilom sa 3,39 promila alkohola u krvi, usled čega je izgubio kontrolu i sleteo sa puta."
32,Brojanje Tasovaca,http://rs.n1info.com/Vesti/a575576/Nova-kolumna-Draze-Petrovica-Brojanje-Tasovaca.html,"Česta je ta scena koja se pojavljuje u Koraksovim karikaturama da pred neke izbore predsednik Vučić, kobajagi, broji ovce koje poslušno idu ka biračkoj kutiji. Međutim, praveći listu za parlamentarne izbore, predsednik Vučić je odlučio da ovaj put ne broji samo ovce, već da broji i specijalnu vrstu intelektualca koje je uspeo da osvoji svojom harizmom, mudošću i pameću, takozvane Tasovce."
33,Ministarstvo izradilo aplikaciju o koncentracijama alergenog polena u vazduhu,http://rs.n1info.com/SciTech/a575584/Ministarstvo-izradilo-aplikaciju-o-koncentracijama-alergenog-polena-u-vazduhu.html,"Ministarstvo zaštite životne sredine izradilo je aplikaciju ""Alergeni polen"", koja prikazuje podatke o koncentracijama alergenog polena u vazduhu na 26 mernih mesta, saopšteno je."
34,"U Bugarskoj škole zatvorene zbog gripa, nema koronavirusa",http://rs.n1info.com/Region/a575580/U-Bugarskoj-skole-zatvorene-zbog-gripa-nema-koronavirusa.html,"Bugarska je zatvorila škole na nekoliko dana, ali ne zbog koronavirusa, već zbog posebno virulentne epidemije gripa koja zahteva izuzetne zdravstvene mere."
35,Vucic estimates: Not many will be infected in Serbia; man can't be tested,http://rs.n1info.com/English/NEWS/a575582/Vucic-estimates-Not-many-will-be-infected-in-Serbia-man-can-t-be-tested.html,"Serbia's President Aleksandar Vucic said on Friday there was no reason for panic following the first case of a man tested positive on coronavirus, adding Serbia was not the epidemic hotspot, and if more people were infected, the numbers might go up to a dozen, not hundreds and thousands as in China, Italy and South Korea, the Beta news agency reported."
36,"Prvih 100 dana EK: Oživeo proces proširenja, Zapadni Balkan prioritet",http://rs.n1info.com/Svet/a575578/Prvih-100-dana-EK-Oziveo-proces-prosirenja-Zapadni-Balkan-prioritet.html,"Evropska komisija je pod vođstvom predsednice Ursule fon der Lajen nastojala da oživi proces proširenja Evropske unije, a angažovanje u zemljama Zapadnog Balkana ostaće prioritet do kraja mandata, saopštila je EK povodom prvih 100 dana rada."
37,Šesnaestogodišnjak u karantinu leskovačke bolnice zbog sumnje na koronavirus,http://rs.n1info.com/Vesti/a575574/Sesnaestogodisnjak-u-karantinu-leskovacke-bolnice-zbog-sumnje-na-koronavirus.html,"Dečak (16) iz Vlasotinca smešten je u karantin na Infektivnom odeljenju Opšte bolnice u Leskovcu zbog sumnje da je oboleo od koronavirusa, potvrdio je agenciji Beta direktor te bolnice Nebojša Dimitrijević."
38,Predsednik Skupštine Crne Gore sa ambasadorom Srbije: Dijalog je jedino rešenje,http://rs.n1info.com/Region/a575572/Predsednik-Skupstine-Crne-Gore-sa-ambasadorom-Srbije-Dijalog-je-jedino-resenje.html,"Sa državama regiona Crna Gora gradi odnose utemeljene na interesima svojih građana, ekonomskoj i geografskoj upućenosti, izjavio je predsednik Skupštine Ivan Brajović tokom prijema novoimenovanog ambasadora Srbije Vladimira Božovića."
39,Oglašena druga prodaja nepokretne imovine preduzeća Park invest Jug,http://rs.n1info.com/Biznis/a575570/Tender-dana.html,"Stečajni upravnik oglasio je drugu prodaju nepokretne imovine preduzeća Park invest Jug, metodom javnog nadmetanja."
40,Joksimović: Žene nikada ne treba da se odreknu dostignutog prava,http://rs.n1info.com/Vesti/a575568/Joksimovic-Zene-nikada-ne-treba-da-se-odreknu-dostignutog-prava.html,"Ministarka za evrointegracije Jadranka Joksimović kazala je da žene nikada ne treba da se odreknu dostignutog prava, koje je, kako je navela, dodatno unapređeno inicijativom koja je prihvaćena od 40 odsto žena na listama."
